timestamp,location,temperature_C,wind_speed_kmph,humidity_percent
2020-01-01 00:00:00,Pune,40.42,2.77,94.39
2020-01-01 01:00:00,Kolkata,29.84,23.43,16.6
2020-01-01 02:00:00,Bangalore,20.86,31.95,26.77
2020-01-01 03:00:00,Pune,37.1,30.58,68.45
2020-01-01 04:00:00,Chennai,27.56,33.5,49.12
2020-01-01 05:00:00,Jaipur,32.84,39.18,55.76
2020-01-01 06:00:00,Bangalore,18.22,39.83,36.13
2020-01-01 07:00:00,Bangalore,33.95,16.42,61.17
2020-01-01 08:00:00,Pune,26.21,20.08,17.25
2020-01-01 09:00:00,Delhi,25.03,19.93,23.82
2020-01-01 10:00:00,Chennai,44.4,25.68,11.04
2020-01-01 11:00:00,Pune,27.97,9.83,43.22
2020-01-01 12:00:00,Chennai,35.34,30.9,90.35
2020-01-01 13:00:00,Chennai,33.83,5.07,70.87
2020-01-01 14:00:00,Jaipur,18.13,38.05,52.62
2020-01-01 15:00:00,Bangalore,37.44,4.99,91.97
2020-01-01 16:00:00,Kolkata,24.69,29.71,45.17
2020-01-01 17:00:00,Jaipur,38.97,15.89,54.96
2020-01-01 18:00:00,Jaipur,33.23,25.35,44.43
2020-01-01 19:00:00,Chennai,24.51,12.57,38.64
2020-01-01 20:00:00,Hyderabad,25.69,4.79,10.29
2020-01-01 21:00:00,Bangalore,36.95,37.52,81.92
2020-01-01 22:00:00,Delhi,31.5,20.4,19.2
2020-01-01 23:00:00,Jaipur,35.05,12.02,24.18
2020-01-02 00:00:00,Kolkata,19.75,24.98,24.85
2020-01-02 01:00:00,Hyderabad,38.61,10.32,36.52
2020-01-02 02:00:00,Hyderabad,24.61,1.62,88.26
2020-01-02 03:00:00,Delhi,33.6,31.75,77.64
2020-01-02 04:00:00,Jaipur,18.44,39.83,23.02
2020-01-02 05:00:00,Kolkata,24.64,38.26,94.33
2020-01-02 06:00:00,Bangalore,34.47,35.19,74.54
2020-01-02 07:00:00,Mumbai,23.23,29.9,56.28
2020-01-02 08:00:00,Kolkata,41.41,6.48,37.75
